    Time,sec      Abs(UY,mm)      Abs(UZ,mm)   Phase(UY,deg)   Phase(UZ,deg)       Freqz(Hz)=189.16       Freqy(Hz)=189.16
    0.012650        0.007964        0.007964       58.663138          -31.34       40.43        1.57
    0.012700        0.007968        0.007968       58.951774          -31.05       40.46        1.57
    0.012750        0.007972        0.007972       59.240822          -30.76       40.48        1.57
    0.012800        0.007977        0.007977       59.530279          -30.47       40.50        1.57
    0.012850        0.007981        0.007981       59.820146          -30.18       40.53        1.57
    0.012900        0.007985        0.007985       60.110421          -29.89       40.55        1.57
    0.012950        0.007988        0.007988       60.401104          -29.60       40.57        1.57
    0.013000        0.007992        0.007992       60.692194          -29.31       40.59        1.57
    0.013050        0.007996        0.007996       60.983689          -29.02       40.62        1.57
    0.013100        0.008000        0.008000       61.275590          -28.72       40.64        1.57
    0.013150        0.008003        0.008003       61.567894          -28.43       40.66        1.57
    0.013200        0.008007        0.008007       61.860602          -28.14       40.68        1.57
    0.013250        0.008010        0.008010       62.153713          -27.85       40.70        1.57
    0.013300        0.008013        0.008013       62.447224          -27.55       40.72        1.57
    0.013350        0.008017        0.008017       62.741137          -27.26       40.73        1.57
    0.013400        0.008020        0.008020       63.035449          -26.96       40.75        1.57
    0.013450        0.008023        0.008023       63.330160          -26.67       40.77        1.57
    0.013500        0.008026        0.008026       63.625268          -26.37       40.79        1.57
    0.013550        0.008029        0.008029       63.920774          -26.08       40.80        1.57
    0.013600        0.008032        0.008032       64.216675          -25.78       40.82        1.57
    0.013650        0.008034        0.008034       64.512972          -25.49       40.84        1.57
    0.013700        0.008037        0.008037       64.809662          -25.19       40.85        1.57
    0.013750        0.008040        0.008040       65.106746          -24.89       40.87        1.57
    0.013800        0.008042        0.008042       65.404222          -24.60       40.88        1.57
    0.013850        0.008045        0.008045       65.702088          -24.30       40.90        1.57
    0.013900        0.008047        0.008047       66.000345          -24.00       40.91        1.57
    0.013950        0.008050        0.008050       66.298991          -23.70       40.92        1.57
    0.014000        0.008052        0.008052       66.598026          -23.40       40.94        1.57
    0.014050        0.008054        0.008054       66.897447          -23.10       40.95        1.57
    0.014100        0.008056        0.008056       67.197255          -22.80       40.96        1.57
    0.014150        0.008058        0.008058       67.497448          -22.50       40.98        1.57
    0.014200        0.008060        0.008060       67.798024          -22.20       40.99        1.57
    0.014250        0.008062        0.008062       68.098984          -21.90       41.00        1.57
    0.014300        0.008064        0.008064       68.400326          -21.60       41.01        1.57
    0.014350        0.008066        0.008066       68.702049          -21.30       41.02        1.57
    0.014400        0.008068        0.008068       69.004152          -21.00       41.03        1.57
    0.014450        0.008070        0.008070       69.306634          -20.69       41.04        1.57
    0.014500        0.008071        0.008071       69.609493          -20.39       41.05        1.57
    0.014550        0.008073        0.008073       69.912730          -20.09       41.06        1.57
    0.014600        0.008075        0.008075       70.216342          -19.78       41.07        1.57
    0.014650        0.008076        0.008076       70.520328          -19.48       41.08        1.57
    0.014700        0.008078        0.008078       70.824688          -19.18       41.09        1.57
    0.014750        0.008079        0.008079       71.129421          -18.87       41.10        1.57
    0.014800        0.008080        0.008080       71.434524          -18.57       41.10        1.57
    0.014850        0.008082        0.008082       71.739998          -18.26       41.11        1.57
    0.014900        0.008083        0.008083       72.045841          -17.95       41.12        1.57
    0.014950        0.008084        0.008084       72.352052          -17.65       41.13        1.57
    0.015000        0.008085        0.008085       72.658630          -17.34       41.13        1.57
    0.015050        0.008086        0.008086       72.965573          -17.03       41.14        1.57
    0.015100        0.008087        0.008087       73.272881          -16.73       41.14        1.57
    0.015150        0.008088        0.008088       73.580552          -16.42       41.15        1.57
    0.015200        0.008089        0.008089       73.888586          -16.11       41.16        1.57
    0.015250        0.008090        0.008090       74.196980          -15.80       41.16        1.57
    0.015300        0.008091        0.008091       74.505735          -15.49       41.17        1.57
    0.015350        0.008092        0.008092       74.814848          -15.19       41.17        1.57
    0.015400        0.008093        0.008093       75.124319          -14.88       41.18        1.57
    0.015450        0.008093        0.008093       75.434146          -14.57       41.18        1.57
    0.015500        0.008094        0.008094       75.744329          -14.26       41.18        1.57
    0.015550        0.008095        0.008095       76.054865          -13.95       41.19        1.57
    0.015600        0.008095        0.008095       76.365755          -13.63       41.19        1.57
    0.015650        0.008096        0.008096       76.676996          -13.32       41.19        1.57
    0.015700        0.008096        0.008096       76.988587          -13.01       41.20        1.57
    0.015750        0.008097        0.008097       77.300528          -12.70       41.20        1.57
    0.015800        0.008097        0.008097       77.612817          -12.39       41.20        1.57
    0.015850        0.008098        0.008098       77.925452          -12.07       41.21        1.57
    0.015900        0.008098        0.008098       78.238433          -11.76       41.21        1.57
    0.015950        0.008098        0.008098       78.551759          -11.45       41.21        1.57
    0.016000        0.008098        0.008098       78.865427          -11.13       41.21        1.57
    0.016050        0.008099        0.008099       79.179437          -10.82       41.21        1.57
    0.016100        0.008099        0.008099       79.493788          -10.51       41.21        1.57
    0.016150        0.008099        0.008099       79.808479          -10.19       41.21        1.57
    0.016200        0.008099        0.008099       80.123507           -9.88       41.22        1.57
    0.016250        0.008099        0.008099       80.438872           -9.56       41.22        1.57
    0.016300        0.008099        0.008099       80.754573           -9.25       41.22        1.57
    0.016350        0.008099        0.008099       81.070608           -8.93       41.22        1.57
    0.016400        0.008099        0.008099       81.386976           -8.61       41.22        1.57
    0.016450        0.008099        0.008099       81.703676           -8.30       41.22        1.57
    0.016500        0.008099        0.008099       82.020707           -7.98       41.22        1.57
    0.016550        0.008099        0.008099       82.338066           -7.66       41.22        1.57
    0.016600        0.008099        0.008099       82.655754           -7.34       41.22        1.57
    0.016650        0.008098        0.008098       82.973768           -7.03       41.21        1.57
    0.016700        0.008098        0.008098       83.292108           -6.71       41.21        1.57
    0.016750        0.008098        0.008098       83.610771           -6.39       41.21        1.57
    0.016800        0.008098        0.008098       83.929758           -6.07       41.21        1.57
    0.016850        0.008097        0.008097       84.249065           -5.75       41.21        1.57
    0.016900        0.008097        0.008097       84.568693           -5.43       41.21        1.57
    0.016950        0.008097        0.008097       84.888640           -5.11       41.20        1.57
    0.017000        0.008096        0.008096       85.208904           -4.79       41.20        1.57
    0.017050        0.008096        0.008096       85.529484           -4.47       41.20        1.57
    0.017100        0.008095        0.008095       85.850379           -4.15       41.20        1.57
    0.017150        0.008095        0.008095       86.171588           -3.83       41.20        1.57
